shapeID,shapeName,assigned_state,state_method,district_code,resolve_method,resolve_score,frame_name,frame_state
76128533B53609934827566,Jashpur,Chhattisgarh,centroid,380,exact_state,100,Jashpur,Chhattisgarh
76128533B48077510234542,Kabeerdham,Chhattisgarh,centroid,382,exact_state,100,Kabeerdham,Chhattisgarh
76128533B12144400448811,Kondagaon,Chhattisgarh,centroid,643,exact_state,100,Kondagaon,Chhattisgarh
76128533B89438858641946,Korba,Chhattisgarh,centroid,383,exact_state,100,Korba,Chhattisgarh
76128533B1621599562140,Koriya,Chhattisgarh,centroid,384,alias_exact,100,Korea,Chhattisgarh
76128533B9759621355294,Mahasamund,Chhattisgarh,centroid,385,exact_state,100,Mahasamund,Chhattisgarh
76128533B17292264941997,Mungeli,Chhattisgarh,centroid,647,exact_state,100,Mungeli,Chhattisgarh
76128533B89979485471283,Narayanpur,Chhattisgarh,centroid,637,exact_state,100,Narayanpur,Chhattisgarh
76128533B67018657649043,Raigarh,Chhattisgarh,centroid,386,exact_state,100,Raigarh,Chhattisgarh
76128533B57691508962219,Raipur,Chhattisgarh,centroid,387,exact_state,100,Raipur,Chhattisgarh
76128533B25020556592153,Rajnandgaon,Chhattisgarh,centroid,388,exact_state,100,Rajnandgaon,Chhattisgarh
76128533B53316015271969,Sukma,Chhattisgarh,centroid,642,exact_state,100,Sukma,Chhattisgarh
76128533B46979893461805,Surajpur,Chhattisgarh,centroid,648,exact_state,100,Surajpur,Chhattisgarh
76128533B52487813780503,Surguja,Chhattisgarh,centroid,389,exact_state,100,Surguja,Chhattisgarh
76128533B26755490628656,Uttar Bastar Kanker,Chhattisgarh,centroid,381,exact_state,100,Uttar Bastar Kanker,Chhattisgarh
76128533B15180319517641,Daman,Dadra and Nagar Haveli and Daman and Diu,centroid,463,exact_state,100,Daman,The Dadra And Nagar Haveli And Daman And Diu
76128533B56857410767766,Diu,Dadra and Nagar Haveli and Daman and Diu,centroid,464,exact_state,100,Diu,The Dadra And Nagar Haveli And Daman And Diu
76128533B19832024635761,Central,Delhi,centroid,77,exact_state,100,Central,Delhi
76128533B72485933575946,East,Delhi,centroid,78,exact_state,100,East,Delhi
76128533B58262202014972,New Delhi,Delhi,centroid,79,exact_state,100,New Delhi,Delhi
76128533B45574198291616,North ,Delhi,centroid,80,exact_state,100,North,Delhi
76128533B9976625304286,North East,Delhi,centroid,81,exact_state,100,North East,Delhi
76128533B71353370080255,North West,Delhi,centroid,82,exact_state,100,North West,Delhi
76128533B81419063387740,Shahdara,Delhi,centroid,671,exact_state,100,Shahdara,Delhi
76128533B97089774514948,South,Delhi,centroid,83,exact_state,100,South,Delhi
76128533B1420136949169,South East,Delhi,centroid,670,exact_state,100,South East,Delhi
76128533B53136419849111,South West,Delhi,centroid,84,exact_state,100,South West,Delhi
76128533B68379889579232,West,Delhi,centroid,85,exact_state,100,West,Delhi
76128533B1711704044407,North Goa,Goa,centroid,551,exact_state,100,North Goa,Goa
