hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-11291,572,TAMIL NADU,Public,True,
HOSP-11292,596,TAMIL NADU,Public,False,
HOSP-11293,631,KARNATAKA,Public,False,
HOSP-11294,56,UTTARAKHAND,Private(For Profit),False,cardiology|ent|general_medicine|general_surgery|neonatal|obgyn|ophthalmology|orthopaedics|paediatric_medicine|plastic_surgery|urology
HOSP-11295,144,UTTAR PRADESH,Private(Not For Profit),False,oral_maxillofacial
HOSP-11296,394,MADHYA PRADESH,Public,True,emergency_room|general_medicine|obgyn
HOSP-11297,525,KARNATAKA,Public,False,
HOSP-11298,484,MAHARASHTRA,Private(For Profit),False,
HOSP-11299,518,TELANGANA,Private(For Profit),False,cardiology|ctvs|emergency_room|general_medicine|orthopaedics|polytrauma
HOSP-11300,403,MADHYA PRADESH,Public,True,general_medicine|general_surgery
HOSP-11301,379,CHHATTISGARH,Public,True,emergency_room|general_medicine|obgyn
HOSP-11302,459,GUJARAT,,False,emergency_room|general_medicine|general_surgery|obgyn|orthopaedics
HOSP-11303,525,KARNATAKA,Public,False,
HOSP-11304,295,ASSAM,Public,False,emergency_room|ent|general_medicine|general_surgery|obgyn|paediatric_medicine
HOSP-11305,162,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_surgery|orthopaedics
HOSP-11306,3,JAMMU AND KASHMIR,Private(For Profit),False,ent|general_surgery|urology
HOSP-11307,503,ANDHRA PRADESH,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|neurosurgery|ophthalmology|orthopaedics|plastic_surgery|polytrauma|urology
HOSP-11308,338,JHARKHAND,Private(For Profit),False,emergency_room|general_medicine|general_surgery|oral_maxillofacial
HOSP-11309,511,ANDHRA PRADESH,Public,True,
HOSP-11310,324,JHARKHAND,Public,True,emergency_room|general_medicine|general_surgery|obgyn|paediatric_medicine
